Line #,Key,en Version,az Translation
1,az.activerecord.models.user,User,İstifadəçi
2,az.activerecord.models.story,Story,Hekayə
3,az.activerecord.models.section,Section,Bölmə
4,az.activerecord.models.medium,Full-Screen Media Slideshow,Tam Ekran Media Slayd nümayişi
5,az.activerecord.models.content,Text,Mətn
6,az.activerecord.models.message,Message,Mesaj
7,az.activerecord.models.slideshow,Image Slideshow,Şəkil Slayd Numayişi
8,az.activerecord.models.embed_medium,Embeddable Online Media,Daxil Ediləsi Onlayn Media
9,az.activerecord.models.youtube,YouTube Video,YouTube Video
10,az.activerecord.models.language,Language,Dil
11,az.activerecord.models.category,Category,Kateqoriya
12,az.activerecord.models.page,Text for Pages,Səhifə üçün Mətn
13,az.activerecord.models.theme,Theme,Mövzu
14,az.activerecord.models.story_type,Story Type,Hekayə Növü
15,az.activerecord.models.author,Author,Müəllif
16,az.activerecord.attributes.user.email,Email Address,E-poçt ünvanı
17,az.activerecord.attributes.user.password,Password,Parol
18,az.activerecord.attributes.user.password_confirmation,Password Confirmation,Parol Təsdiqi
19,az.activerecord.attributes.user.role,Role,Rol
20,az.activerecord.attributes.user.remember_me,Remember Me,Məni xatırla
21,az.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Sənin Hekayələrin üçün Defolt Dil
22,az.activerecord.attributes.user.about,Summary of You,Sənin Xülasən
23,az.activerecord.attributes.user.local_avatar,Avatar,Avatar
24,az.activerecord.attributes.user.nickname,Nickname,Ləqəb
25,az.activerecord.attributes.user.sign_in_count,Number of Times Logged In,Daxil Olmanın Sayı
26,az.activerecord.attributes.user.created_at,Date Created,Yaradıldığı Tarix
27,az.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Sonuncu Dəfə Daxil Olmanın Tarixi
28,az.activerecord.attributes.author.avatar,Avatar,Avatar
29,az.activerecord.attributes.author_translation.name,Name,Ad
30,az.activerecord.attributes.author_translation.about,About,Haqqında
31,az.activerecord.attributes.author_translation.permalink,Permalink,Daimi Keçid
32,az.activerecord.attributes.story.user_id,Story Author,Hekayənin Müəllifi 
33,az.activerecord.attributes.story.user_ids,Editors,Redaktorlar
34,az.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?",Dərc edildikdən sonra hekayən ana səhifədə göstərilsin mi?
35,az.activerecord.attributes.story.template_id,Template,Şablon
36,az.activerecord.attributes.story.thumbnail,Thumbnail,Thumbnail - Xırda Şəkil
37,az.activerecord.attributes.story.story_locale,Story Language,Hekayənin Dili
38,az.activerecord.attributes.story.tag_list,Tags,Nişanlar
39,az.activerecord.attributes.story.categories,Categories,Kateqoriyalar
40,az.activerecord.attributes.story.story_type,Type,Növ
